,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
ADULT SERVICES,0.161384875471907,-0.15850972258285523,0.15843032645240843,0.22093439116230867,-0.19327675692862317,-0.4035355143153577,0.2294943357788244,-0.11109314918463833,0.49150180727476517,-0.15098608018045523,0.06205395776012532,0.09117042539913334,0.48454734216639334,0.05997751446252696,0.0006857600312165594
CAMPS,0.17159943234529393,0.0950346907242162,-0.1868783842956297,0.07422895599011622,0.19980626484744146,0.20097768297923999,0.6327138397468031,-0.14431830787183136,0.1049647922810923,-0.18528487103795163,0.034077253213770926,0.17133057190264403,-0.3085734785494895,0.14039900475415784,0.2367883219553014
CHILD SERVICES AND WELFARE,0.24979373974039973,-0.25417153861641517,0.025774264720203034,-0.17098498484470329,0.012024313082087646,0.014986360915145363,-0.002077038808532555,0.07676277709067816,-0.09546237251623399,0.07285264290572775,-0.2087901677451848,-0.01824942347710491,-0.24509179297492661,-0.01509902873872011,-0.018534968156708034
"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",0.20153363168465405,-0.08209737189432417,0.30280340860607746,0.10807083260357014,-0.026574462850406863,0.23338270414566994,-0.2944297833001493,-0.05291919714135112,0.11304274705705554,-0.33979235697014926,-0.018130699061512327,-0.11545693533261298,-0.0889551716632517,0.5562496320950736,0.060010240623590165
CULTURAL INSTITUTIONS,0.18110423903316455,0.3118128318411415,-0.2372919014450577,0.2476490371006796,-0.07086032176601963,0.061126918484330474,-0.020486294073669885,0.13341799296539028,0.25810719911164426,0.04474703296498057,-0.1319059333720364,0.09095786537768609,-0.08845023086064736,-0.24265789740511665,-0.20798269039874087
DAY CARE AND PRE-KINDERGARTEN,0.2503995581756252,-0.18403562891271288,-0.08246143340545274,-0.11368402384862515,0.08414928448085406,-0.10085554141020187,0.27696295951279315,-0.06386768570629618,0.0011274876195456439,-0.05704183727551005,0.20658322522405886,-0.08456823799067441,-0.1526251180419234,-0.042617110965160396,-0.0012289025677581708
EMERGENCY SERVICES,0.24893399309945058,-0.13680556163963822,-0.03729713565778787,0.039775086963933656,0.005053526315623221,0.13950637233676833,-0.11075194438145841,0.055522645125153404,0.0729621100453582,-0.08894584119934518,0.15510965156683476,-0.24217744178142103,0.09115113613298098,-0.2654769393551022,-0.3708795728017674
HEALTH CARE,0.2580941488711076,-0.019739662356356043,-0.04198968142474828,-0.1739908166876698,-0.088337919780308,-0.21408309341760087,-0.1300154065922656,0.04018420117188933,-0.01784973677531069,0.24838617728593343,-0.0440206116559169,0.13567786968727816,0.01607575516841355,-0.04426979099160861,0.4373780365937101
HIGHER EDUCATION,0.16642657759537968,0.3669083270553327,-0.14012243375400638,-0.036023387673267224,0.03126526256206485,-0.12262448997815327,-0.12320311328769125,-0.0026343031050528416,-0.058519819142144824,0.3386584496567001,-0.05785298950527704,0.21693805499946756,0.05827792970083617,0.42608575273761984,-0.0710361462172859
HISTORICAL SITES,0.19499362320871835,0.2823051928345351,-0.2598757149588702,0.1889231275604652,-0.028863570736293868,0.09010042285285161,-0.0272587493286654,-0.19726652178204906,0.18273718503972858,0.21295839353936882,-0.16545620395105037,-0.057874622914572516,0.02366925726224836,0.005300443567669705,-0.1693840712186022
HUMAN SERVICES,0.2734293311454753,-0.06352315979890401,0.13347713434968841,-0.16689136263885324,-0.11002620378153716,-0.14106448111622608,-0.01362750819690409,0.1377996811215526,0.000919836036674991,0.16553939432767997,-0.19642592710193846,0.058201463281451114,-0.06635337277373311,-0.007604545647334266,0.07997818837514344
JUSTICE AND CORRECTIONS,0.10015278191044964,0.2922807727373642,0.4597033180477715,-0.07003601509086545,0.10708102812398737,0.05580816967164483,0.06020435903997061,-0.2879603032817538,0.08118580136065776,0.05753306927302123,-0.006069321381167374,-0.16927945137509978,-0.10742834076379708,-0.442576454444389,0.13332522839293365
LIBRARIES,0.22292446298115134,-0.02240276140452764,-0.2120903428310765,-0.05524442361330872,0.16813474930787248,-0.03216649846980804,0.10938903399257312,-0.07925598400864321,-0.23814550685285482,0.16417410057716506,0.42106135908972553,-0.36004671173569525,0.20279131656879779,0.22092269233507358,-0.21313733881284322
MATERIAL SUPPLIES AND MARKETS,0.03220595281649415,-0.08393149641165172,0.1381525483045791,0.6756272292282506,0.005364994643365541,-0.4146357886734515,0.04913161166710316,-0.14927348783655864,-0.48152345827060306,0.07140172329435004,-0.09439353476578814,-0.07781176606778382,-0.21046187946407394,-0.019458474190725054,-0.010275720669421295
"OFFICES, TRAINING, AND TESTING",0.13965918663564147,0.300659099258253,0.41389014464713264,-0.13128991161604844,0.08957728344941533,-0.030879697338331753,-0.008600356136083086,-0.24383442321184476,0.09236713772082851,0.1291970463250434,0.0026618178354617565,-0.2512041255010516,-0.07676560612663563,0.16438210857297245,-0.09395016829020576
OTHER PROPERTY,0.10603304321411235,-0.018291149025643976,0.2899897887045172,0.34617192399062424,-0.17159325909073192,0.4274032708412158,0.1983548272853057,0.5505698482249118,0.004844513720363087,0.34058028235923443,0.1883849295751096,-0.038867677763780986,0.0434668085945471,0.036489061482707766,0.13130842676632012
PARKS AND PLAZAS,0.25609319576135403,0.009541180064028536,-0.0564437334872875,-0.0306179456189746,0.0150547026685589,0.19424019766546077,-0.050304624554637786,-0.044546386019537906,-0.29954860561271107,-0.08327449098468263,-0.17634286248495434,-0.09944471704427807,0.34183244883327746,-0.2141405922924759,0.08612427471315766
PUBLIC SAFETY,0.19930756061309257,-0.10477048957889373,0.02133136472713666,0.10314908569692954,-0.08993838302196008,0.07973069317856518,-0.37342599434975504,-0.25032637409779357,0.0373830295103595,0.03983022241837636,0.5690572359504347,0.48594631293855634,-0.2319263015427813,-0.1549686106606028,-0.01587104013377478
SCHOOLS (K-12),0.2657958418845966,-0.19496617129405194,-0.016552019510549767,-0.2018487736804909,-0.019022773120079942,-0.04406884739818367,0.09735701870615991,0.001066746220169175,-0.07430026258387505,0.0795290381819791,-0.0068517806707191825,0.015393903413719375,-0.05626164633510572,-0.012583235535589753,-0.050644467256799386
SOLID WASTE,0.2406126481360196,-0.1395925556072977,-0.06372404084904211,0.146005362660247,0.13042678085694442,0.14182106213418685,-0.14998899209261543,-0.011502902771981858,0.009613576808987338,-0.27065737237682647,-0.3777157603675666,0.08435951341112666,-0.13035549787129835,0.0172197715109649,-0.18743172144522546
TELECOMMUNICATIONS,0.10909954006450531,0.3071293191088734,0.2994759450105189,-0.17180074359218783,0.029791229800578505,-0.104388307452358,0.2037328611154561,0.2463503166350459,-0.34082280720691516,-0.302156616103409,0.05692883764980561,0.44845192729584465,0.14170293576614135,-0.014330447006560765,-0.376424958855512
TRANSPORTATION,0.22225995583716904,0.20917263060010083,-0.14346922493298492,0.1106389833629696,0.0006515325139855733,0.12963711457794197,-0.11649375054307266,-0.07508613969916476,-0.2241243011213287,-0.2882739275540078,0.0497344128222073,-0.0009779111485886671,0.3474058301701659,-0.054658688205932546,0.4718198714092085
VOCATIONAL AND PROPRIETARY SCHOOLS,0.12371392999664589,0.2957636160854443,-0.13534192933209682,-0.02684617303967797,-0.04570243633399749,-0.3831163311415936,-0.1615209918826814,0.4608598773352183,0.11140997055783185,-0.332029433672366,0.19977608283272744,-0.32161710955164285,-0.31015666375462414,-0.045914520881762386,0.13578390316096228
WATER AND WASTEWATER,0.03709830035422962,-0.1142263626056793,0.0854424583900293,0.11319976009039039,0.8707693130742008,-0.10748924370497058,-0.1504158976734491,0.2271261190681911,0.1820461232940288,0.11685888441002068,-0.003466276166755396,0.1241179230897012,0.1427168328009367,-0.054279685760388253,0.0768071667007619
YOUTH SERVICES,0.27127288547340334,-0.18726709589447904,0.04143964547101339,-0.058149029658663,-0.1545502677085476,-0.08912655735873132,0.0523345589077816,0.06706402131807397,0.0634553434188168,0.07314053347364088,-0.1751453690202675,0.009507589533997683,0.033083020865378295,-0.017067484094197016,-0.0659887254518465
